"","participant","condition","mean_dev"
"308","ies13","unpredictable",-0.0546296296296296
"309","ies14","spondee",-0.0458333333333333
"310","ies14","stressed_spondee",1.15874107184388e-18
"311","ies14","trochee",-0.12962962962963
"312","ies14","unpredictable",0.00499999999999999
"313","ies15","spondee",0.0333333333333333
"314","ies15","stressed_spondee",-0.4
"315","ies15","trochee",-0.21
"316","ies15","unpredictable",-0.0749999999999999
"317","ies16","stressed_spondee",-0.0444444444444444
"318","ies16","trochee",0.0333333333333333
"319","ies16","unpredictable",-0.0777777777777778
"320","ies17","spondee",0.0483333333333333
"321","ies17","stressed_spondee",-0.0145833333333333
"322","ies17","trochee",-0.192857142857143
"323","ies17","unpredictable",-0.0472222222222223
"324","ies18","spondee",0.0814814814814815
"325","ies18","stressed_spondee",-0.005
"326","ies18","trochee",-0.0163333333333333
"327","ies18","unpredictable",-0.241666666666667
"328","ies19","spondee",-0.00370370370370372
"329","ies19","stressed_spondee",0.0203703703703704
"330","ies19","trochee",-0.0453333333333333
"331","ies19","unpredictable",0.0333333333333333
"332","ies20","spondee",0.0833333333333333
"333","ies20","trochee",-0.556666666666667
"334","ies20","unpredictable",-0.425
"335","ies21","spondee",0.085
"336","ies21","stressed_spondee",0.0266666666666667
"337","ies21","trochee",-0.0653333333333333
"338","ies21","unpredictable",-0.0805555555555555
"339","ies22","spondee",-0.0479166666666667
"340","ies22","stressed_spondee",-0.065
"341","ies22","trochee",-0.270666666666667
"342","ies22","unpredictable",-0.135416666666667
"343","ies23","spondee",0.03125
"344","ies23","stressed_spondee",-0.0166666666666667
"345","ies23","trochee",-0.00333333333333333
"346","ies23","unpredictable",-0.00625000000000001
"347","ies24","spondee",-0.235
"348","ies24","stressed_spondee",-0.307407407407407
"349","ies24","trochee",-0.18
"350","ies24","unpredictable",-0.472619047619048
"351","ies25","spondee",-0.0166666666666667
"352","ies25","stressed_spondee",-0.0604166666666667
"353","ies25","trochee",-0.11037037037037
"354","ies25","unpredictable",-0.258333333333333
"355","ies26","spondee",-0.0116666666666667
"356","ies26","stressed_spondee",0.035
"357","ies26","trochee",-0.0183333333333333
"358","ies26","unpredictable",-0.416666666666667
"359","ies27","spondee",-0.336666666666667
"360","ies27","stressed_spondee",-0.325
"361","ies27","trochee",-0.220666666666667
"362","ies27","unpredictable",-0.205
"363","ies28","spondee",0.0833333333333333
"364","ies28","stressed_spondee",-0.0305555555555556
"365","ies28","trochee",-0.088
"366","ies28","unpredictable",0.141666666666667
"367","ies29","spondee",-0.38
"368","ies29","stressed_spondee",-0.294444444444444
"369","ies29","trochee",-0.364444444444444
"370","ies29","unpredictable",-0.280555555555556
"371","ies30","spondee",0.00666666666666666
"372","ies30","stressed_spondee",-0.0116666666666667
"373","ies30","trochee",-0.0185185185185185
"374","ies30","unpredictable",-0.144444444444444
"375","ies31","spondee",0.00555555555555555
"376","ies31","stressed_spondee",-0.0547619047619048
"377","ies31","trochee",-0.2525
"378","ies31","unpredictable",-0.204166666666667
"379","ies32","spondee",-0.0466666666666667
"380","ies32","stressed_spondee",-0.00555555555555555
"381","ies32","trochee",-0.19
"382","ies32","unpredictable",0.0388888888888889
"383","ies33","spondee",0.0166666666666667
"384","ies33","stressed_spondee",0.00499999999999998
"385","ies33","trochee",-0.341666666666667
"386","ies33","unpredictable",-0.194444444444444
"387","ims01","spondee",-0.383333333333333
"388","ims01","stressed_spondee",-0.351851851851852
"389","ims01","trochee",-0.352666666666667
"390","ims01","unpredictable",-0.466666666666667
"391","ims02","spondee",-0.18
"392","ims02","stressed_spondee",-0.1633333332
"393","ims02","trochee",-0.3560000001
"394","ims02","unpredictable",-0.2899999999
"395","ims03","spondee",-0.257407407407407
"396","ims03","stressed_spondee",-0.12962962962963
"397","ims03","trochee",-0.228333333333333
"398","ims03","unpredictable",-0.153333333333333
"399","ims04","spondee",-0.00166666666666668
"400","ims04","stressed_spondee",-0.00740740740740741
"401","ims04","trochee",-0.0208333333333333
"402","ims04","unpredictable",-0.319444444444444
"403","ims05","spondee",-0.401666666666667
"404","ims05","stressed_spondee",-0.362962962962963
"405","ims05","trochee",-0.376666666666667
"406","ims05","unpredictable",-0.299074074074074
"407","ims06","spondee",0.0433333333333333
"408","ims06","stressed_spondee",0.0277777777777778
"409","ims06","trochee",-0.0158333333333333
"410","ims06","unpredictable",0.0395833333333334
"411","ims07","spondee",-0.411666666666667
"412","ims07","stressed_spondee",-0.406666666666667
"413","ims07","trochee",-0.476333333333333
"414","ims07","unpredictable",-0.256666666666667
"415","ims08","spondee",-0.431666666666667
"416","ims08","stressed_spondee",-0.361666666666667
"417","ims08","trochee",-0.304333333333333
"418","ims08","unpredictable",-0.339166666666667
"419","ims09","spondee",0.0433333333333333
"420","ims09","stressed_spondee",-2.04319405241244e-17
"421","ims09","trochee",-0.01
"422","ims09","unpredictable",-0.00833333333333335
"423","ims10","trochee",-0.0233333333333333
"424","ims10","unpredictable",-0.341666666666667
"425","ims11","spondee",-0.0616666666666667
"426","ims11","stressed_spondee",-0.062962962962963
"427","ims11","trochee",-0.254333333333333
"428","ims11","unpredictable",-0.0533333333333333
"429","ims12","spondee",-0.05
"430","ims12","stressed_spondee",-0.108333333333333
"431","ims12","trochee",-0.308333333333333
"432","ims12","unpredictable",0.125
"433","ims13","spondee",-0.0133333333333333
"434","ims13","stressed_spondee",-0.104761904761905
"435","ims13","trochee",-0.1475
"436","ims13","unpredictable",-0.271428571428571
"437","ims14","spondee",-0.306666666666667
"438","ims14","stressed_spondee",-0.19
"439","ims14","trochee",-0.182333333333333
"440","ims14","unpredictable",0.0108333333333334
"441","ims15","spondee",-0.00208333333333333
"442","ims15","stressed_spondee",-0.00666666666666668
"443","ims15","trochee",-0.236666666666667
"444","ims15","unpredictable",-0.0380952380952381
"445","ims16","spondee",0.0814814814814815
"446","ims16","stressed_spondee",0.0592592592592593
"447","ims16","trochee",-0.016
"448","ims16","unpredictable",0.116666666666667
"449","ims17","spondee",-0.05
"450","ims17","stressed_spondee",-0.103333333333333
"451","ims17","trochee",-0.0895238095238095
"452","ims17","unpredictable",-0.2375
"453","ims18","spondee",-0.0783333333333333
"454","ims18","stressed_spondee",-0.0616666666666667
"455","ims18","trochee",-0.15037037037037
"456","ims18","unpredictable",-0.260416666666667
"457","ims19","spondee",0.00833333333333333
"458","ims19","stressed_spondee",-0.045
"459","ims19","trochee",-0.0723333333333333
"460","ims19","unpredictable",-0.111111111111111
"461","ims20","unpredictable",-0.458333333333333
"462","ims21","spondee",0.037037037037037
"463","ims21","stressed_spondee",0.0240740740740741
"464","ims21","trochee",0.014
"465","ims21","unpredictable",-0.0833333333333333
"466","ims22","spondee",-3.08169409165498e-18
"467","ims22","stressed_spondee",0.0333333333333333
"468","ims22","trochee",-0.0811111111111111
"469","ims22","unpredictable",-0.235416666666667
"470","ims23","spondee",-0.18125
"471","ims23","stressed_spondee",-0.025
"472","ims23","trochee",-0.111666666666667
"473","ims23","unpredictable",-0.05
"474","ims24","spondee",-0.296666666666667
"475","ims24","stressed_spondee",-0.281666666666667
"476","ims24","trochee",-0.272333333333333
"477","ims24","unpredictable",-0.289814814814815
