"","participant","base_note","direction","rt"
"367","ams17","MI","down",0.422916666666667
"368","ams18","MI","down",0.80952380952381
"369","ams19","MI","down",0.852380952380952
"370","ams20","MI","down",1.06041666666667
"371","ams21","MI","down",0.645833333333333
"372","ams22","MI","down",0.40952380952381
"373","ams23","MI","down",0.729166666666667
"374","ams24","MI","down",0.708333333333333
"375","ams25","MI","down",0.64375
"376","ams26","MI","down",0.864583333333333
"377","ams27","MI","down",0.6
"378","ams28","MI","down",1.02291666666667
"379","ams29","MI","down",0.511111111111111
"380","ams30","MI","down",1.125
"381","ams31","MI","down",1.16190476190476
"382","ams32","MI","down",1.2
"383","ies01","MI","down",0.416666666666667
"384","ies02","MI","down",0.404166666666667
"385","ies03","MI","down",0.427083333333333
"386","ies04","MI","down",0.833333333333333
"387","ies05","MI","down",0.410416666666667
"388","ies06","MI","down",0.414583333333333
"389","ies07","MI","down",0.535416666666667
"390","ies08","MI","down",0.73125
"391","ies09","MI","down",0.489583333333333
"392","ies10","MI","down",0.702083333333333
"393","ies11","MI","down",0.5125
"394","ies12","MI","down",0.777083333333333
"395","ies13","MI","down",0.777083333333333
"396","ies14","MI","down",1.06041666666667
"397","ies15","MI","down",0.6625
"398","ies16","MI","down",0.986666666666667
"399","ies17","MI","down",0.6125
"400","ies18","MI","down",0.65625
"401","ies19","MI","down",0.4
"402","ies20","MI","down",1.07708333333333
"403","ies21","MI","down",0.477083333333333
"404","ies22","MI","down",0.854166666666667
"405","ies23","MI","down",0.422916666666667
"406","ies24","MI","down",1.3625
"407","ies25","MI","down",0.485714285714286
"408","ies26","MI","down",0.4375
"409","ies27","MI","down",0.547916666666667
"410","ies28","MI","down",0.94375
"411","ies29","MI","down",0.916666666666667
"412","ies30","MI","down",0.510416666666667
"413","ies31","MI","down",0.633333333333333
"414","ies32","MI","down",0.977083333333333
"415","ies33","MI","down",0.541666666666667
"416","ims01","MI","down",0.69375
"417","ims02","MI","down",1.09523809542857
"418","ims03","MI","down",0.700000000125
"419","ims04","MI","down",0.43125
"420","ims05","MI","down",0.522916666666667
"421","ims06","MI","down",0.85
"422","ims07","MI","down",1.12291666666667
"423","ims08","MI","down",1.5452380952381
"424","ims09","MI","down",0.5625
"425","ims10","MI","down",0.830952380952381
"426","ims11","MI","down",1.02083333333333
"427","ims12","MI","down",1.2125
"428","ims13","MI","down",1.81388888888889
"429","ims14","MI","down",0.885416666666667
"430","ims15","MI","down",0.9
"431","ims16","MI","down",0.566666666666667
"432","ims17","MI","down",1.23095238095238
"433","ims18","MI","down",1.01111111111111
"434","ims19","MI","down",0.702083333333333
"435","ims20","MI","down",1.18
"436","ims21","MI","down",0.564285714285714
"437","ims22","MI","down",0.664285714285714
"438","ims23","MI","down",0.589583333375
"439","ims24","MI","down",1.20208333333333
"440","ims25","MI","down",0.647619047619048
"441","ims26","MI","down",0.861904761904762
"442","ims27","MI","down",1.28541666666667
"443","ims28","MI","down",1.04791666666667
"444","ims29","MI","down",0.59375
"445","ims30","MI","down",0.871428571428571
"446","ims31","MI","down",0.810416666666667
"447","ims32","MI","down",0.869444444444444
"448","mon01","MI","down",1.25714285714286
"449","mon02","MI","down",0.697916666666667
"450","mon03","MI","down",0.602083333333333
"451","mon04","MI","down",0.85952380952381
"452","mon05","MI","down",1
"453","mon06","MI","down",0.266666666666667
"454","mon07","MI","down",0.9125
"455","mon08","MI","down",0.60625
"456","mon09","MI","down",0.775
"457","mon10","MI","down",0.970833333333333
"458","mon11","MI","down",0.5625
"459","mon12","MI","down",1.2875
"460","mon13","MI","down",0.83125
"461","mon14","MI","down",0.820833333333333
"462","mon15","MI","down",0.177777777777778
"463","mon16","MI","down",0.404166666666667
"464","mon17","MI","down",0.529166666666667
"465","mon18","MI","down",0.583333333333333
"466","mon19","MI","down",0.933333333333333
"467","mon20","MI","down",1.57708333333333
"468","mon21","MI","down",0.55
"469","mon22","MI","down",0.591666666666667
"470","mon23","MI","down",0.263888888888889
"471","mon24","MI","down",0.770833333333333
"472","mon25","MI","down",0.891666666666667
"473","mon26","MI","down",1.10833333333333
"474","mon27","MI","down",0.136666666666667
"475","mon28","MI","down",0.85
"476","mon29","MI","down",0.452083333333333
"477","mon30","MI","down",1.06041666666667
"478","aes01","MI","up",0.6625
"479","aes02","MI","up",0.697916666666667
"480","aes03","MI","up",0.8875
"481","aes04","MI","up",0.79375
"482","aes05","MI","up",0.552083333333333
"483","aes06","MI","up",0.441666666666667
"484","aes07","MI","up",1.08666666666667
"485","aes08","MI","up",0.441666666666667
"486","aes09","MI","up",1.14666666666667
"487","aes10","MI","up",0.791666666666667
"488","aes11","MI","up",0.777083333333333
"489","aes12","MI","up",1.55
"490","aes13","MI","up",1.23888888888889
"491","aes14","MI","up",0.597916666666667
"492","aes15","MI","up",1.75952380952381
"493","aes16","MI","up",0.4125
"494","aes17","MI","up",0.369047619047619
"495","aes18","MI","up",0.533333333333333
"496","aes19","MI","up",0.666666666666667
"497","aes20","MI","up",0.7375
"498","aes21","MI","up",1.06666666666667
"499","aes22","MI","up",0.63125
"500","aes23","MI","up",0.5
"501","aes24","MI","up",0.827777777777778
"502","aes25","MI","up",0.560416666666667
"503","aes26","MI","up",0.702083333333333
"504","aes27","MI","up",1.16
"505","aes28","MI","up",0.427083333333333
"506","aes29","MI","up",0.652083333333333
"507","aes30","MI","up",0.289583333333333
"508","aes31","MI","up",0.654166666666667
"509","aes32","MI","up",1.25208333333333
"510","ams01","MI","up",0.683333333333333
"511","ams02","MI","up",1.65
"512","ams03","MI","up",0.564285714285714
"513","ams04","MI","up",0.572916666666667
"514","ams05","MI","up",1.38333333333333
"515","ams06","MI","up",0.84047619047619
"516","ams07","MI","up",0.610416666666667
"517","ams08","MI","up",0.769444444444444
"518","ams09","MI","up",1.47619047619048
"519","ams10","MI","up",0.820833333333333
"520","ams11","MI","up",0.986666666666667
"521","ams12","MI","up",0.686111111111111
"522","ams13","MI","up",0.466666666666667
"523","ams14","MI","up",0.652083333333333
"524","ams15","MI","up",0.777777777777778
"525","ams16","MI","up",0.770833333333333
"526","ams17","MI","up",0.425
"527","ams18","MI","up",0.908333333333333
"528","ams19","MI","up",1.03611111111111
"529","ams20","MI","up",1.09791666666667
"530","ams21","MI","up",0.610416666666667
"531","ams22","MI","up",0.725
"532","ams23","MI","up",0.541666666666667
"533","ams24","MI","up",0.685416666666667
"534","ams25","MI","up",0.623809523809524
"535","ams26","MI","up",0.791666666666667
"536","ams27","MI","up",0.558333333333333
"537","ams28","MI","up",1.32083333333333
"538","ams29","MI","up",0.641666666666667
"539","ams30","MI","up",1.08333333333333
"540","ams31","MI","up",1.05555555555556
"541","ams32","MI","up",1.51111111111111
"542","ies01","MI","up",0.485416666666667
"543","ies02","MI","up",0.458333333333333
"544","ies03","MI","up",0.485416666666667
"545","ies04","MI","up",0.820833333333333
"546","ies05","MI","up",0.676666666666667
"547","ies06","MI","up",0.477083333333333
"548","ies07","MI","up",0.680952380952381
"549","ies08","MI","up",0.721428571428571
"550","ies09","MI","up",0.64375
"551","ies10","MI","up",0.857142857142857
"552","ies11","MI","up",0.464583333333333
"553","ies12","MI","up",0.829166666666667
"554","ies13","MI","up",0.680952380952381
"555","ies14","MI","up",1.17291666666667
"556","ies15","MI","up",1.21666666666667
"557","ies16","MI","up",0.972222222222222
"558","ies17","MI","up",1.07142857142857
"559","ies18","MI","up",0.610416666666667
"560","ies19","MI","up",0.614583333333333
"561","ies20","MI","up",0.883333333333333
"562","ies21","MI","up",0.623809523809524
"563","ies22","MI","up",1.05833333333333
"564","ies23","MI","up",0.754166666666667
"565","ies24","MI","up",1.25666666666667
"566","ies25","MI","up",0.49375
"567","ies26","MI","up",0.604166666666667
"568","ies27","MI","up",0.660416666666667
"569","ies28","MI","up",1.29166666666667
"570","ies29","MI","up",0.958333333333333
"571","ies30","MI","up",0.46875
"572","ies31","MI","up",0.858333333333333
"573","ies32","MI","up",1.25
"574","ies33","MI","up",0.502083333333333
"575","ims01","MI","up",0.952380952380952
"576","ims02","MI","up",1.23055555566667
"577","ims03","MI","up",1.15
"578","ims04","MI","up",0.480952380952381
"579","ims05","MI","up",0.589583333333333
"580","ims06","MI","up",1.09583333333333
"581","ims07","MI","up",1.3
"582","ims08","MI","up",1.6
"583","ims09","MI","up",0.733333333333333
"584","ims10","MI","up",1.1
"585","ims11","MI","up",1.29583333333333
"586","ims12","MI","up",1.36666666666667
"587","ims13","MI","up",1.75
"588","ims14","MI","up",0.795833333333333
"589","ims15","MI","up",1.63333333333333
"590","ims16","MI","up",0.716666666666667
"591","ims17","MI","up",1.11041666666667
"592","ims18","MI","up",0.738095238095238
"593","ims19","MI","up",0.747916666666667
"594","ims20","MI","up",1.28333333333333
"595","ims21","MI","up",0.635416666666667
"596","ims22","MI","up",0.947222222222222
"597","ims23","MI","up",0.863888889
"598","ims24","MI","up",NA
"599","ims25","MI","up",0.90625
"600","ims26","MI","up",1.22857142857143
"601","ims27","MI","up",1.40208333333333
"602","ims28","MI","up",0.954166666666667
"603","ims29","MI","up",0.786111111111111
"604","ims30","MI","up",1.00238095238095
"605","ims31","MI","up",1.11666666666667
"606","ims32","MI","up",1.01904761904762
"607","mon01","MI","up",1.18125
"608","mon02","MI","up",0.816666666666667
"609","mon03","MI","up",0.816666666666667
"610","mon04","MI","up",0.694444444444444
"611","mon05","MI","up",0.716666666666667
"612","mon06","MI","up",0.333333333333333
"613","mon07","MI","up",0.921428571428571
"614","mon08","MI","up",0.533333333333333
"615","mon09","MI","up",1.01458333333333
"616","mon10","MI","up",1.21904761904762
"617","mon11","MI","up",0.711904761904762
"618","mon12","MI","up",1.20555555555556
"619","mon13","MI","up",0.916666666666667
"620","mon14","MI","up",0.747916666666667
"621","mon15","MI","up",0.229166666666667
"622","mon16","MI","up",0.563888888888889
"623","mon17","MI","up",0.471428571428571
"624","mon18","MI","up",0.873809523809524
"625","mon19","MI","up",NA
"626","mon20","MI","up",NA
"627","mon21","MI","up",NA
"628","mon22","MI","up",0.708333333333333
"629","mon23","MI","up",0.233333333333333
"630","mon24","MI","up",0.952380952380952
"631","mon25","MI","up",0.730952380952381
"632","mon26","MI","up",1.21666666666667
"633","mon27","MI","up",0.108333333333333
"634","mon28","MI","up",1.21111111111111
"635","mon29","MI","up",0.397222222222222
"636","mon30","MI","up",1.23611111111111
"637","aes01","SOL","down",0.491666666666667
"638","aes02","SOL","down",0.645833333333333
"639","aes03","SOL","down",0.847916666666667
"640","aes04","SOL","down",0.73125
"641","aes05","SOL","down",0.727083333333333
"642","aes06","SOL","down",0.335416666666667
