"","participant","spondee","stressed_spondee","trochee","unpredictable"
"69","ies05",0.0714285714285714,0.00333333333333331,-0.223333333333333,0.0125
"70","ies06",0.00499999999999999,0.0283333333333333,0.005,-0.0392857142857143
"71","ies07",-0.055,-0.035,-0.372592592592593,-0.286111111111111
"72","ies08",0.0270833333333333,0.00499999999999998,-0.0326666666666667,-0.15
"73","ies09",-0.0333333333333333,0.0259259259259259,-0.0262962962962963,3.0727451213424e-17
"74","ies10",0.0216666666666667,0.0222222222222222,-0.0491666666666667,-0.0666666666666667
"75","ies11",0.05,0.0166666666666667,-0.19,0.0194444444444444
"76","ies12",0.0185185185185185,0.00555555555555555,-0.157777777777778,-0.126041666666667
"77","ies13",-0.146666666666667,-0.0619047619047619,-0.213888888888889,-0.0546296296296296
"78","ies14",-0.0458333333333333,1.15874107184388e-18,-0.12962962962963,0.00499999999999999
"79","ies15",0.0333333333333333,-0.4,-0.21,-0.0749999999999999
"80","ies16",NA,-0.0444444444444444,0.0333333333333333,-0.0777777777777778
"81","ies17",0.0483333333333333,-0.0145833333333333,-0.192857142857143,-0.0472222222222223
"82","ies18",0.0814814814814815,-0.005,-0.0163333333333333,-0.241666666666667
"83","ies19",-0.00370370370370372,0.0203703703703704,-0.0453333333333333,0.0333333333333333
"84","ies20",0.0833333333333333,NA,-0.556666666666667,-0.425
"85","ies21",0.085,0.0266666666666667,-0.0653333333333333,-0.0805555555555555
"86","ies22",-0.0479166666666667,-0.065,-0.270666666666667,-0.135416666666667
"87","ies23",0.03125,-0.0166666666666667,-0.00333333333333333,-0.00625000000000001
"88","ies24",-0.235,-0.307407407407407,-0.18,-0.472619047619048
"89","ies25",-0.0166666666666667,-0.0604166666666667,-0.11037037037037,-0.258333333333333
"90","ies26",-0.0116666666666667,0.035,-0.0183333333333333,-0.416666666666667
"91","ies27",-0.336666666666667,-0.325,-0.220666666666667,-0.205
"92","ies28",0.0833333333333333,-0.0305555555555556,-0.088,0.141666666666667
"93","ies29",-0.38,-0.294444444444444,-0.364444444444444,-0.280555555555556
"94","ies30",0.00666666666666666,-0.0116666666666667,-0.0185185185185185,-0.144444444444444
"95","ies31",0.00555555555555555,-0.0547619047619048,-0.2525,-0.204166666666667
"96","ies32",-0.0466666666666667,-0.00555555555555555,-0.19,0.0388888888888889
"97","ies33",0.0166666666666667,0.00499999999999998,-0.341666666666667,-0.194444444444444
"98","ims01",-0.383333333333333,-0.351851851851852,-0.352666666666667,-0.466666666666667
"99","ims02",-0.18,-0.1633333332,-0.3560000001,-0.2899999999
"100","ims03",-0.257407407407407,-0.12962962962963,-0.228333333333333,-0.153333333333333
"101","ims04",-0.00166666666666668,-0.00740740740740741,-0.0208333333333333,-0.319444444444444
"102","ims05",-0.401666666666667,-0.362962962962963,-0.376666666666667,-0.299074074074074
"103","ims06",0.0433333333333333,0.0277777777777778,-0.0158333333333333,0.0395833333333334
"104","ims07",-0.411666666666667,-0.406666666666667,-0.476333333333333,-0.256666666666667
"105","ims08",-0.431666666666667,-0.361666666666667,-0.304333333333333,-0.339166666666667
"106","ims09",0.0433333333333333,-2.04319405241244e-17,-0.01,-0.00833333333333335
"107","ims10",NA,NA,-0.0233333333333333,-0.341666666666667
"108","ims11",-0.0616666666666667,-0.062962962962963,-0.254333333333333,-0.0533333333333333
"109","ims12",-0.05,-0.108333333333333,-0.308333333333333,0.125
"110","ims13",-0.0133333333333333,-0.104761904761905,-0.1475,-0.271428571428571
"111","ims14",-0.306666666666667,-0.19,-0.182333333333333,0.0108333333333334
"112","ims15",-0.00208333333333333,-0.00666666666666668,-0.236666666666667,-0.0380952380952381
"113","ims16",0.0814814814814815,0.0592592592592593,-0.016,0.116666666666667
"114","ims17",-0.05,-0.103333333333333,-0.0895238095238095,-0.2375
"115","ims18",-0.0783333333333333,-0.0616666666666667,-0.15037037037037,-0.260416666666667
"116","ims19",0.00833333333333333,-0.045,-0.0723333333333333,-0.111111111111111
"117","ims20",NA,NA,NA,-0.458333333333333
"118","ims21",0.037037037037037,0.0240740740740741,0.014,-0.0833333333333333
"119","ims22",-3.08169409165498e-18,0.0333333333333333,-0.0811111111111111,-0.235416666666667
"120","ims23",-0.18125,-0.025,-0.111666666666667,-0.05
"121","ims24",-0.296666666666667,-0.281666666666667,-0.272333333333333,-0.289814814814815
"122","ims25",-0.0633333333333333,-0.0633333333333334,-0.0411111111111111,-0.33125
