"","participant","DO_down","DO_up","MI_down","MI_up","SOL_down","SOL_up"
"83","ies19",0.4,0.55952380952381,0.4,0.614583333333333,0.395833333333333,0.39375
"84","ies20",0.814583333333333,1.30416666666667,1.07708333333333,0.883333333333333,0.858333333333333,0.779166666666667
"85","ies21",0.46875,0.7625,0.477083333333333,0.623809523809524,0.5625,0.425
"86","ies22",0.791666666666667,1.12291666666667,0.854166666666667,1.05833333333333,1.1047619047619,0.795833333333333
"87","ies23",0.458333333333333,0.59375,0.422916666666667,0.754166666666667,0.521428571428571,0.427083333333333
"88","ies24",1.18958333333333,2.25,1.3625,1.25666666666667,1.45,1.31666666666667
"89","ies25",0.36875,0.497916666666667,0.485714285714286,0.49375,0.458333333333333,0.410416666666667
"90","ies26",0.502083333333333,0.902083333333333,0.4375,0.604166666666667,0.554166666666667,0.564583333333333
"91","ies27",0.489583333333333,0.754166666666667,0.547916666666667,0.660416666666667,0.560416666666667,0.458333333333333
"92","ies28",1.18333333333333,1.37291666666667,0.94375,1.29166666666667,1.11875,1.1375
"93","ies29",0.8,1.15952380952381,0.916666666666667,0.958333333333333,0.775,0.858333333333333
"94","ies30",0.495833333333333,0.722222222222222,0.510416666666667,0.46875,0.585416666666667,0.589583333333333
"95","ies31",0.797916666666667,0.975,0.633333333333333,0.858333333333333,0.692857142857143,0.689583333333333
"96","ies32",0.833333333333333,1.52916666666667,0.977083333333333,1.25,1.19285714285714,1.04047619047619
"97","ies33",0.416666666666667,0.588095238095238,0.541666666666667,0.502083333333333,0.520833333333333,0.385416666666667
"98","ims01",0.728571428571429,1.17857142857143,0.69375,0.952380952380952,1.12222222222222,0.8125
"99","ims02",1.0375,1.31,1.09523809542857,1.23055555566667,1.07777777783333,0.923809523714286
"100","ims03",0.433333333375,NA,0.700000000125,1.15,1.0366666666,0.3125
"101","ims04",0.472916666666667,0.4625,0.43125,0.480952380952381,0.383333333333333,0.379166666666667
"102","ims05",0.458333333333333,0.480952380952381,0.522916666666667,0.589583333333333,0.489583333333333,0.441666666666667
"103","ims06",0.847916666666667,1.13888888888889,0.85,1.09583333333333,1.29285714285714,0.5625
"104","ims07",0.902083333333333,1.31111111111111,1.12291666666667,1.3,1.14047619047619,0.9375
"105","ims08",1.4952380952381,1.5375,1.5452380952381,1.6,1.475,1.17142857142857
"106","ims09",0.608333333333333,0.742857142857143,0.5625,0.733333333333333,0.564583333333333,0.489583333333333
"107","ims10",0.766666666666667,0.966666666666667,0.830952380952381,1.1,0.85952380952381,0.641666666666667
"108","ims11",0.872916666666667,1.15277777777778,1.02083333333333,1.29583333333333,1.13095238095238,0.710416666666667
"109","ims12",0.98125,1.48333333333333,1.2125,1.36666666666667,1.47777777777778,1.15952380952381
"110","ims13",1.02222222222222,1.16111111111111,1.81388888888889,1.75,1.44,0.964285714285714
"111","ims14",0.835416666666667,1.42291666666667,0.885416666666667,0.795833333333333,0.902083333333333,0.635416666666667
"112","ims15",0.797916666666667,1.12083333333333,0.9,1.63333333333333,1.42777777777778,0.68125
"113","ims16",0.622916666666667,0.758333333333333,0.566666666666667,0.716666666666667,0.604166666666667,0.4625
"114","ims17",0.8625,1.21875,1.23095238095238,1.11041666666667,0.966666666666667,0.877083333333333
"115","ims18",1.04375,0.921428571428571,1.01111111111111,0.738095238095238,0.588888888888889,0.960416666666667
"116","ims19",0.578571428571429,0.828571428571429,0.702083333333333,0.747916666666667,0.85,0.477083333333333
"117","ims20",0.875,1.51428571428571,1.18,1.28333333333333,1.43333333333333,0.810416666666667
"118","ims21",0.477083333333333,0.729166666666667,0.564285714285714,0.635416666666667,0.697619047619048,0.604166666666667
"119","ims22",0.722916666666667,0.972222222222222,0.664285714285714,0.947222222222222,0.864285714285714,0.627083333333333
"120","ims23",0.424999999875,1.483333333,0.589583333375,0.863888889,0.799999999857143,0.545833333375
"121","ims24",0.985714285714286,NA,1.20208333333333,NA,0.98,1.18095238095238
"122","ims25",0.545833333333333,1.01666666666667,0.647619047619048,0.90625,0.547916666666667,0.727083333333333
"123","ims26",0.791666666666667,1.09,0.861904761904762,1.22857142857143,1.525,0.9
"124","ims27",1.14583333333333,1.33958333333333,1.28541666666667,1.40208333333333,1.3125,1.41458333333333
"125","ims28",0.860416666666667,1.375,1.04791666666667,0.954166666666667,1.2875,1.24375
"126","ims29",0.620833333333333,1.19761904761905,0.59375,0.786111111111111,0.910416666666667,0.652083333333333
"127","ims30",0.741666666666667,0.84,0.871428571428571,1.00238095238095,0.880555555555556,0.73125
"128","ims31",0.558333333333333,1.375,0.810416666666667,1.11666666666667,1.00277777777778,0.658333333333333
"129","ims32",0.710416666666667,1.35277777777778,0.869444444444444,1.01904761904762,1.16458333333333,0.983333333333333
"130","mon01",1.06458333333333,1.2,1.25714285714286,1.18125,1.28095238095238,1.23958333333333
"131","mon02",0.564583333333333,1.175,0.697916666666667,0.816666666666667,0.666666666666667,0.5625
"132","mon03",0.525,1.01666666666667,0.602083333333333,0.816666666666667,0.688888888888889,0.579166666666667
"133","mon04",0.65625,0.983333333333333,0.85952380952381,0.694444444444444,0.85625,0.647916666666667
"134","mon05",NA,0.69375,1,0.716666666666667,0.693333333333333,NA
"135","mon06",0.266666666666667,0.5,0.266666666666667,0.333333333333333,0.329166666666667,0.227083333333333
"136","mon07",0.6875,1.17916666666667,0.9125,0.921428571428571,0.702380952380952,0.602083333333333
"137","mon08",0.547619047619048,0.783333333333333,0.60625,0.533333333333333,0.619444444444444,0.41875
"138","mon09",0.772916666666667,0.94375,0.775,1.01458333333333,0.814583333333333,0.635416666666667
"139","mon10",0.54375,1.31666666666667,0.970833333333333,1.21904761904762,0.970833333333333,0.73125
"140","mon11",0.5625,0.741666666666667,0.5625,0.711904761904762,0.645833333333333,0.641666666666667
"141","mon12",0.98125,NA,1.2875,1.20555555555556,1.03333333333333,0.929166666666667
"142","mon13",0.552083333333333,1.45,0.83125,0.916666666666667,1.01666666666667,0.725
"143","mon14",0.5875,0.708333333333333,0.820833333333333,0.747916666666667,0.702083333333333,0.620833333333333
"144","mon15",0.310416666666667,NA,0.177777777777778,0.229166666666667,0.241666666666667,0.264285714285714
"145","mon16",0.385416666666667,0.683333333333333,0.404166666666667,0.563888888888889,0.43125,0.51875
"146","mon17",0.510416666666667,0.488095238095238,0.529166666666667,0.471428571428571,0.464583333333333,0.4
"147","mon18",0.470833333333333,NA,0.583333333333333,0.873809523809524,0.744444444444444,0.36875
"148","mon19",0.495833333333333,NA,0.933333333333333,NA,0.552083333333333,NA
"149","mon20",1.1,NA,1.57708333333333,NA,1.35625,NA
"150","mon21",0.510416666666667,NA,0.55,NA,0.616666666666667,NA
"151","mon22",0.35,0.864285714285714,0.591666666666667,0.708333333333333,0.5,0.7375
"152","mon23",0.428571428571429,0.427777777777778,0.263888888888889,0.233333333333333,0.236111111111111,0.169444444444444
"153","mon24",0.63125,1.04166666666667,0.770833333333333,0.952380952380952,0.6,0.46875
"154","mon25",0.402083333333333,1.06666666666667,0.891666666666667,0.730952380952381,0.775,0.483333333333333
"155","mon26",1.01666666666667,1.425,1.10833333333333,1.21666666666667,1.45238095238095,0.672916666666667
"156","mon27",0.129166666666667,NA,0.136666666666667,0.108333333333333,NA,0.127083333333333
"157","mon28",0.70625,1.17777777777778,0.85,1.21111111111111,0.908333333333333,0.616666666666667
"158","mon29",0.285416666666667,0.408333333333333,0.452083333333333,0.397222222222222,0.430952380952381,0.386111111111111
"159","mon30",0.76875,1.15833333333333,1.06041666666667,1.23611111111111,1.15416666666667,0.827083333333333
